Est;O2;cond;pH;NH4;Ptot;PO4;DBO5;DQO;sólidos;altitud;temp;conc-O2;sat-O2;Motot;MOP;vel;caudal;var-caudal;chorio
Av2;1,7;32;6,6;0,08;0,46;0;1,3;9,5;0,11;3040;10,2;8;103;2,7;1,6;25;0,64;57;6
Av3;3,7;44;6,8;0,1;0,15;0;1,4;17,5;0,03;2650;12,5;7,6;99;4;2,1;42;1,45;24;7
Fr1;5,2;79;6,6;0,23;1,34;0,02;2;20;0,14;2560;13,3;5,2;67;25,5;9,1;44;1,03;121;4
Fr2;1,7;7;4,8;0,05;0,09;0;1,4;16,5;0,07;3290;9,6;7,8;101;3,4;2,3;19;0,22;116;7
Fr3;3,2;21;6,1;0,18;0,61;0,05;1,3;15;0,17;3010;11,5;7,9;104;70,3;8,4;31;2,01;154;8
Ne1;4,9;215;6,8;0,28;1,07;0,05;1,8;18,5;0,27;2820;13,2;7,8;103;136,7;17;38;1,2;130;6
Ne2;3,4;6;6,1;0;0,2;0,02;1,3;14,5;0,04;3300;11,5;7,6;106;2,4;2,1;18;0,3;96;5
Ne3;2,5;23;7;0,06;0,13;0,02;1,4;12;0,03;2820;13,8;7,6;103;45,1;5;23;5,12;135;8
Si1;5,9;37;6,9;0,3;0,43;0,02;3,4;12,5;0,17;2670;14,8;7,3;99;49,4;11,9;28;5,74;129;4
Si2;8,5;176;7;0,05;0,31;0,06;1,6;16,5;0,1;2700;11,5;8,4;105;6;1,3;41;0,16;26;6
Si3;5,3;134;6,5;0,25;0,95;0,02;2,3;22,5;1,37;2620;14,2;6,9;91;14,4;3,2;32;0,08;28;2
Su1;5,9;246;6,9;2,18;0,82;0,06;3,1;32;0,6;2580;15,7;5,2;71;12,3;5,7;23;0,07;76;4
Su2;5,5;48;6,8;0,18;0,14;0,01;2,3;14;0,04;2940;14,5;7,2;99;10,5;6,6;57;1,35;51;5
Su3;1,7;50;7,3;0,16;0,41;0,01;2,1;10,5;0,68;2660;14,9;7,5;102;31,6;11,4;72;1,37;82;6
Teu1;4,4;53;7;0,08;0,23;0,01;1,6;14,5;0,08;2590;16,9;7,7;107;8,1;2,8;55;1,26;134;5
Teu2;0,5;15;6,5;0,03;0,38;0,02;1,4;8,5;0;2830;10,5;7,9;100;2,5;1,6;22;0,22;63;6
Teu3;2,1;22;6,7;0,1;0,31;0,01;1,7;34;0,04;2660;12,9;7,8;100;11,5;4,1;34;0,39;82;5
Tu1;3,3;28;6,8;0,18;0,67;0;2,3;40,5;0,17;2590;15,8;7,6;103;33,7;6,2;33;3,14;157;7
Tu2;1,8;18;6,8;0,03;0,2;0,01;1,3;6,5;0,01;2640;14;7,7;101;11,4;2,5;43;0,68;93;6
Tu3;4,4;21;6,8;0,08;0,28;0;1,1;9;0,04;2570;15,9;7,3;100;11,8;3,5;47;0,95;131;6
