Cod;Tributario;Amonio;Nitrito;Nitrato;Oxigeno;pH;Conductividad;Caudal;Vel_Corriente;Luz;Temp;Fragillaria;Lyngbya;Chamaepinnularia;Achnantes;Amphora;Caloneis;Closterium;Cocconeis;Cymbella;Eolimna;Epithemia;Eunotia;Frustulia;Girosigma;Gomphonema;Melosira;Navicula;Nitzchia;Planothidium ;Surilella;Pinnularia
T1.1;T1;0,301;0,838;0,901;7,68;8,1;76;0,51;0,73;800;17,6;0;72;2;0;4;0;10;9;0;14;0;0;0;0;0;50;0;11;4;2;12
T1.2;T1;0,301;0,779;0,83;6,54;7,45;76;1,589;0,369;400;18,3;2;52;1;0;3;0;11;19;0;24;0;6;6;0;0;53;9;18;6;0;8
T1.3;T1;1,107;1,176;3,43;5,62;7,81;76;1,478;1,154;300;17,1;27;6;10;0;0;0;8;26;0;24;0;2;3;0;2;59;3;33;24;0;12
T1.4;T1;1,024;0,882;2,67;6,08;9,21;76;1,24;1,326;100;18,6;35;16;19;1;2;7;4;30;0;24;1;0;0;8;11;86;15;40;40;5;14
T1.5;T1;0,194;0,147;0,524;5,1;9,24;76;1,32;1,323;800;17,9;66;17;40;5;9;12;6;158;0;70;4;9;0;20;33;149;34;52;98;30;11
T1.6;T1;0,206;0,471;0,895;5,6;9,63;77;1,251;1,29;200;17,8;50;27;29;6;10;28;3;157;0;62;5;7;0;13;29;194;33;36;79;29;6
T1.7;T1;1,912;0,471;2,86;7,69;6,6;76;1,241;1,266;4400;19;44;6;59;7;7;33;3;222;0;81;6;7;4;14;38;203;39;39;185;28;20
T1.8;T1;0,135;0,353;0,659;7,9;7,1;77;1,237;1,34;2300;18,2;39;5;45;0;5;18;0;202;0;61;4;2;0;13;24;151;32;38;69;32;7
T2.1;T2;0,028;0,294;0,434;6,9;6,64;43;0,172;0,46;3800;17,2;6;6;0;0;8;0;0;18;0;4;0;0;2;0;2;6;0;18;6;2;6
T2.2;T2;5,905;0,559;0,386;5,93;6,43;43;0,016;0,158;4700;17,6;23;8;2;0;2;0;0;10;0;8;2;0;0;0;3;15;20;6;10;0;3
T2.3;T2;0,609;0,5;1,075;5,96;8,2;47;0,091;0,043;6300;17,8;31;14;6;0;5;5;0;14;0;21;1;0;2;0;6;52;2;20;8;0;9
T2.4;T2;0,088;0,485;0,965;5,82;8,5;43;0,027;0,221;1500;17,7;53;34;34;0;16;29;0;40;0;83;2;1;7;2;15;151;13;60;79;10;16
T2.5;T2;0,348;0,838;3,541;4,98;7,36;44;0,047;0,32;5000;17,3;99;30;46;0;9;30;0;62;0;88;5;8;0;3;14;153;26;39;107;3;16
T2.6;T2;0,076;0,309;0,683;6,68;9,1;44;0,041;0,293;2700;17,9;49;6;48;4;19;23;0;103;0;66;9;13;0;2;25;182;28;30;139;12;9
T2.7;T2;0,171;0,353;1,096;7,15;7,7;44;0,035;0,251;2300;18,6;48;0;65;5;17;14;0;128;0;93;16;6;4;1;35;144;34;26;166;11;8
T2.8;T2;0,111;0,441;0,986;7,6;8,3;43;0,067;0,285;2800;18,1;32;0;40;17;20;25;0;114;0;125;21;6;0;4;33;110;45;26;210;22;8
T3.1;T3;0,1;0,382;0,729;8,16;8,21;44;0,765;0,88;50100;15,9;20;0;3;0;8;0;0;8;0;4;0;0;14;0;2;2;0;16;7;0;6
T3.2;T3;0,111;0,559;0,753;6,53;7,23;43;0,115;0,302;449;16,6;95;0;8;7;0;4;0;14;0;16;3;0;8;0;0;93;15;49;10;0;3
T3.3;T3;2,481;0,412;5,242;6,17;8,14;44;0,624;0,8;3300;15,2;98;0;19;10;11;4;0;43;5;31;2;0;2;0;7;189;24;63;33;0;14
T3.4;T3;0,182;0,676;0,962;6,38;9,15;45;0,142;0,238;3100;15,3;78;0;42;8;21;35;13;98;8;83;3;0;13;2;5;136;42;79;136;0;19
T3.5;T3;0,301;0,368;0,878;4,96;8,42;46;0,881;1,122;51000;15,3;58;0;58;22;16;42;16;99;6;88;3;0;1;6;0;155;37;64;150;0;12
T3.6;T3;0,408;0,353;0,611;7,2;8,08;46;0,782;1,092;3400;17,1;38;0;55;14;9;11;11;128;6;56;6;0;6;4;3;162;46;45;120;0;7
T3.7;T3;0,147;0,603;2,81;7,58;8,5;46;0,119;0,199;3800;17,3;38;0;49;13;17;23;8;182;0;61;18;0;4;2;2;181;59;20;131;0;15
T3.8;T3;0,159;0,588;0,721;7,83;8,9;45;0,301;0,431;2600;17,2;23;0;30;9;19;10;13;149;0;7;12;0;3;0;7;203;70;20;94;0;12
