"";"MUESTREO";"TRAMO";"LLUVIA";"Batds";"Lpthy";"Trcry";"Prbtd";"Cmlbt";"Thrld";"Lchln";"Trpds"
"AM1";"M1";"A";"P1";1;1;1;1;0;1;0;0
"AM2";"M2";"A";"P1";1;1;1;1;0;0;0;0
"AM3";"M3";"A";"P2";1;1;0;0;0;0;0;0
"AM4";"M4";"A";"P2";1;1;0;1;0;0;0;0
"AM5";"M5";"A";"P2";1;1;0;1;0;0;0;0
"AM6";"M6";"A";"P2";1;1;1;1;0;0;1;0
"AM7";"M7";"A";"P2";1;1;1;1;0;0;0;0
"AM8";"M8";"A";"P1";1;1;1;1;0;0;1;0
"AM9";"M9";"A";"P1";1;0;1;1;0;0;0;0
"AM10";"M10";"A";"P1";1;1;0;1;0;1;1;0
"BM1";"M1";"B";"P1";1;1;1;1;1;1;0;0
"BM2";"M2";"B";"P1";1;1;1;1;0;1;0;0
"BM3";"M3";"B";"P2";1;1;1;1;0;1;0;0
"BM4";"M4";"B";"P2";1;1;0;0;0;0;1;0
"BM5";"M5";"B";"P2";1;1;1;0;0;0;0;0
"BM6";"M6";"B";"P2";1;1;1;1;0;1;1;0
"BM7";"M7";"B";"P2";1;1;1;0;0;0;1;0
"BM8";"M8";"B";"P1";1;1;1;0;0;0;0;0
"BM9";"M9";"B";"P1";1;1;1;1;0;1;1;0
"BM10";"M10";"B";"P1";1;1;0;0;0;1;1;0
"CM1";"M1";"C";"P1";1;0;1;1;0;1;0;0
"CM2";"M2";"C";"P1";1;1;1;1;0;1;0;0
"CM3";"M3";"C";"P1";0;1;1;0;0;1;0;0
"CM4";"M4";"C";"P2";1;1;1;1;1;1;0;1
"CM5";"M5";"C";"P2";1;1;1;0;1;1;0;1
"CM6";"M6";"C";"P2";1;0;1;0;1;0;0;0
"CM7";"M7";"C";"P2";1;1;1;0;1;0;0;0
"CM10";"M10";"C";"P1";1;1;1;1;1;1;0;0
